+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+------------+
| 108   | 0   | 108  | 0   | 0   | 0   | GET    | /                  | 0.828 | 5.639 | 469.275 | 4.345 | 5.194 | 5.340 | 5.498 | 1.181  | 4930.000  | 17542.000   | 597761.000    | 5534.824   |
| 33    | 0   | 33   | 0   | 0   | 0   | GET    | /@.*               | 0.486 | 4.023 | 78.406  | 2.376 | 3.311 | 3.711 | 4.023 | 0.773  | 1838.000  | 4957.000    | 112624.000    | 3412.848   |
| 16    | 0   | 16   | 0   | 0   | 0   | GET    | /posts             | 2.373 | 5.355 | 72.968  | 4.561 | 5.206 | 5.355 | 5.355 | 0.745  | 4965.000  | 5444.000    | 82705.000     | 5169.062   |
| 269   | 0   | 269  | 0   | 0   | 0   | GET    | /posts/[0-9]+      | 0.038 | 0.375 | 60.769  | 0.226 | 0.273 | 0.287 | 0.342 | 0.042  | 755.000   | 1908.000    | 353242.000    | 1313.167   |
| 2171  | 0   | 2171 | 0   | 0   | 0   | GET    | /image/[0-9]+\..*  | 0.001 | 0.170 | 11.307  | 0.005 | 0.011 | 0.015 | 0.024 | 0.006  | 41769.000 | 1057906.000 | 341985183.000 | 157524.267 |
| 74    | 0   | 0    | 74  | 0   | 0   | POST   | /login             | 0.001 | 0.115 | 3.368   | 0.046 | 0.073 | 0.088 | 0.115 | 0.028  | 0.000     | 0.000       | 0.000         | 0.000      |
| 342   | 0   | 342  | 0   | 0   | 0   | GET    | /favicon.ico       | 0.001 | 0.020 | 0.942   | 0.003 | 0.007 | 0.008 | 0.011 | 0.003  | 43.000    | 43.000      | 14706.000     | 43.000     |
| 342   | 0   | 342  | 0   | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.023 | 0.649   | 0.002 | 0.005 | 0.007 | 0.009 | 0.003  | 1824.000  | 1824.000    | 623808.000    | 1824.000   |
| 342   | 0   | 342  | 0   | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.011 | 0.576   | 0.002 | 0.004 | 0.006 | 0.009 | 0.002  | 1915.000  | 1915.000    | 654930.000    | 1915.000   |
| 8     | 0   | 0    | 8   | 0   | 0   | POST   | /register          | 0.015 | 0.102 | 0.539   | 0.067 | 0.102 | 0.102 | 0.102 | 0.023  | 0.000     | 0.000       | 0.000         | 0.000      |
| 342   | 0   | 342  | 0   | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.010 | 0.524   | 0.002 | 0.004 | 0.005 | 0.007 | 0.002  | 1549.000  | 1549.000    | 529758.000    | 1549.000   |
| 14    | 0   | 0    | 7   | 7   | 0   | POST   | /                  | 0.001 | 0.124 | 0.368   | 0.026 | 0.053 | 0.124 | 0.124 | 0.030  | 0.000     | 0.000       | 0.000         | 0.000      |
| 10    | 0   | 0    | 10  | 0   | 0   | POST   | /comment           | 0.004 | 0.032 | 0.111   | 0.011 | 0.012 | 0.032 | 0.032 | 0.007  | 0.000     | 0.000       | 0.000         | 0.000      |
| 28    | 0   | 28   | 0   | 0   | 0   | GET    | /login             | 0.001 | 0.016 | 0.109   | 0.004 | 0.011 | 0.012 | 0.016 | 0.004  | 615.000   | 615.000     | 17220.000     | 615.000    |
| 14    | 0   | 0    | 14  | 0   | 0   | GET    | /logout            | 0.001 | 0.015 | 0.059   | 0.004 | 0.013 | 0.015 | 0.015 | 0.005  | 24.000    | 24.000      | 336.000       | 24.000     |
| 8     | 0   | 0    | 0   | 8   | 0   | GET    | /admin/banned      | 0.001 | 0.017 | 0.053   | 0.007 | 0.017 | 0.017 | 0.017 | 0.006  | 0.000     | 0.000       | 0.000         | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /initialize        | 0.040 | 0.040 | 0.040   | 0.040 | 0.040 | 0.040 | 0.040 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000      |
+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+------------+
